country,date,value
BE,2023-01-01,7.10765094656665
BE,2023-04-01,4.98154981549812
BE,2023-07-01,3.53171832196388
BE,2023-10-01,0.82323824410573
DE,2023-01-01,8.23676792984649
DE,2023-04-01,6.54689403166866
DE,2023-07-01,5.60383578064137
DE,2023-10-01,3.55464159811984
ES,2023-01-01,5.0536230414279
ES,2023-04-01,3.05059158525208
ES,2023-07-01,2.81790088825143
ES,2023-10-01,3.26708123545137
FR,2023-01-01,5.98992520225915
FR,2023-04-01,5.17539673070036
FR,2023-07-01,4.68155402814241
FR,2023-10-01,3.71874269689175
IT,2023-01-01,8.9024390243903
IT,2023-04-01,7.39520958083841
IT,2023-07-01,5.57021401348571
IT,2023-10-01,0.983698707138826
NL,2023-01-01,6.61971024451701
NL,2023-04-01,5.64108295381521
NL,2023-07-01,2.5724336081201
NL,2023-10-01,0.805212692694804
