country,date,value
BE,2010-01-01,0.988866100205103
BE,2010-04-01,2.17558792236856
BE,2010-07-01,2.60007344840255
BE,2010-10-01,2.99431922301634
BE,2011-01-01,3.37636904330164
BE,2011-04-01,3.47935368043091
BE,2011-07-01,3.63662395303882
BE,2011-10-01,3.63319336702015
BE,2012-01-01,3.55727065427122
BE,2012-04-01,2.74818695999164
BE,2012-07-01,2.6421219865994
BE,2012-10-01,2.42420080348857
BE,2013-01-01,1.25342999424094
BE,2013-04-01,1.25966701563607
BE,2013-07-01,1.1373195598776
BE,2013-10-01,0.804586141003733
BE,2014-01-01,1.0003680283717
BE,2014-04-01,0.416889007470619
BE,2014-07-01,0.0798482882522661
BE,2014-10-01,-0.133027370381427
BE,2015-01-01,-0.480323307274505
BE,2015-04-01,0.491547377860491
BE,2015-07-01,0.807818888999671
BE,2015-10-01,1.43194911585471
BE,2016-01-01,1.79076656791943
BE,2016-04-01,2.13173811018943
BE,2016-07-01,2.10064635272396
BE,2016-10-01,1.87136806855115
BE,2017-01-01,2.63235342205939
BE,2017-04-01,1.91249757297259
BE,2017-07-01,1.89593359387613
BE,2017-10-01,2.06903219568791
BE,2018-01-01,1.5261581596891
BE,2018-04-01,1.80675070650614
BE,2018-07-01,2.25370863446184
BE,2018-10-01,2.62069401029335
BE,2019-01-01,2.16224697944447
BE,2019-04-01,1.8994448256503
BE,2019-07-01,1.16246628847763
BE,2019-10-01,0.541521799329168
BE,2020-01-01,1.0413466855071
BE,2020-04-01,0.547886504851447
BE,2020-07-01,0.818165103879397
BE,2020-10-01,0.556966673807276
BE,2021-01-01,0.535068251603772
BE,2021-04-01,1.43987823439884
BE,2021-07-01,2.61998115558788
BE,2021-10-01,5.16753400894734
BE,2022-01-01,7.98028364933925
BE,2022-04-01,8.97578249257269
BE,2022-07-01,10.2804845540977
BE,2022-10-01,11.07735046445
BE,2023-01-01,7.10765094656665
BE,2023-04-01,4.98154981549812
BE,2023-07-01,3.53171832196388
BE,2023-10-01,0.82323824410573
DE,2010-01-01,0.811090445632278
DE,2010-04-01,1.1129877332487
DE,2010-07-01,1.11074003564097
DE,2010-10-01,1.37907420005493
DE,2011-01-01,1.87730500110677
DE,2011-04-01,2.00133288752965
DE,2011-07-01,2.19706874168773
DE,2011-10-01,2.22296203390028
DE,2012-01-01,2.13885911821112
DE,2012-04-01,1.86396049254026
DE,2012-07-01,2.01954009622399
DE,2012-10-01,2.01233341861282
DE,2013-01-01,1.54639148984252
DE,2013-04-01,1.50883111544927
DE,2013-07-01,1.62835745688693
DE,2013-10-01,1.33629949193787
DE,2014-01-01,1.20558191136669
DE,2014-04-01,1.07526489736517
DE,2014-07-01,0.848248883011415
DE,2014-10-01,0.502355890951504
DE,2015-01-01,-0.0511055589110063
DE,2015-04-01,0.968857402274673
DE,2015-07-01,0.728883209102601
DE,2015-10-01,0.409232955814197
DE,2016-01-01,0.302618367151003
DE,2016-04-01,0.132884168850024
DE,2016-07-01,0.497346153237276
DE,2016-10-01,1.03402811065374
DE,2017-01-01,1.6426455084565
DE,2017-04-01,1.42667290458131
DE,2017-07-01,1.55064503181679
DE,2017-10-01,1.4196007460121
DE,2018-01-01,1.31925881036448
DE,2018-04-01,1.7337305267548
DE,2018-07-01,1.88434001353004
DE,2018-10-01,1.98567984337433
DE,2019-01-01,1.36718384079566
DE,2019-04-01,1.70416761174864
DE,2019-07-01,1.46682385965903
DE,2019-10-01,1.24481331989052
DE,2020-01-01,1.61955574584113
DE,2020-04-01,0.411902086364748
DE,2020-07-01,-0.9164647286135
DE,2020-10-01,-0.504413380302131
DE,2021-01-01,1.49900066622255
DE,2021-04-01,2.19050779953537
DE,2021-07-01,3.87830157138082
DE,2021-10-01,4.70941883767536
DE,2022-01-01,4.79159829340332
DE,2022-04-01,6.65800584605394
DE,2022-07-01,7.40263920180232
DE,2022-10-01,8.58054226475283
DE,2023-01-01,8.23676792984649
DE,2023-04-01,6.54689403166866
DE,2023-07-01,5.60383578064137
DE,2023-10-01,3.55464159811984
ES,2010-01-01,1.09257385713336
ES,2010-04-01,1.58966006977681
ES,2010-07-01,1.95373208949729
ES,2010-10-01,2.55113784584225
ES,2011-01-01,3.48495737988703
ES,2011-04-01,3.49274971412935
ES,2011-07-01,3.06508020983804
ES,2011-10-01,2.75327512550592
ES,2012-01-01,1.9569332790674
ES,2012-04-01,1.96641277415803
ES,2012-07-01,2.75852657281012
ES,2012-10-01,3.0905278180269
ES,2013-01-01,2.62105486746405
ES,2013-04-01,1.7232938059342
ES,2013-07-01,1.20781616786673
ES,2013-10-01,0.128192903834204
ES,2014-01-01,0.0114198026515169
ES,2014-04-01,0.219415434814075
ES,2014-07-01,-0.329471179251499
ES,2014-10-01,-0.503650407364319
ES,2015-01-01,-1.01874417924183
ES,2015-04-01,-0.253894042494549
ES,2015-07-01,-0.411332275350653
ES,2015-10-01,-0.321514913045675
ES,2016-01-01,-0.657913710561205
ES,2016-04-01,-0.945233122101421
ES,2016-07-01,-0.184006116863519
ES,2016-10-01,0.974057148953586
ES,2017-01-01,2.74343444606932
ES,2017-04-01,1.99749821300925
ES,2017-07-01,1.65373863054687
ES,2017-10-01,1.44857607753912
ES,2018-01-01,0.95363564760694
ES,2018-04-01,1.80175129384808
ES,2018-07-01,2.23144017155715
ES,2018-10-01,1.70979041614743
ES,2019-01-01,1.13600184727125
ES,2019-04-01,0.917630132412682
ES,2019-07-01,0.312409583775406
ES,2019-10-01,0.440997774531359
ES,2020-01-01,0.602267931394664
ES,2020-04-01,-0.658260486976344
